Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,44,10,49000.0,107643.08053784087,3570.031125999776,492464.6260909999,1530.5454545454545,0.07971616532927348,0.018117310302107607,56000,85000,106000,147000,370000,429000,492000,492000,492000,492000,492000
GET,/health,27,9,41000.0,83208.10050822217,3571.118920999652,539252.8163430002,55.333333333333336,0.048916737815690545,0.016305579271896846,41000,44000,61000,61000,212000,477000,539000,539000,539000,539000,539000
GET,/history,16,2,27000.0,111701.336452,13199.021968000125,549913.988963,913.5,0.028987696483372172,0.0036234620604215216,41000,61000,105000,105000,462000,550000,550000,550000,550000,550000,550000
,Aggregated,87,21,44000.0,100806.1567887241,3570.031125999776,549913.988963,959.2413793103449,0.1576205996283362,0.038046351634425976,44000,61000,104000,133000,370000,477000,539000,550000,550000,550000,550000
