Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,13,2,102000.0,136518.87873123094,29275.935852000657,292608.6481419998,2058.6923076923076,0.044124795288902986,0.006788430044446614,102000,170000,233000,264000,277000,293000,293000,293000,293000,293000,293000
GET,/health,11,3,92000.0,104641.12183072715,12113.995613999577,277455.0848250001,60.36363636363637,0.037336365244456375,0.01018264506666992,92000,101000,131000,131000,276000,277000,277000,277000,277000,277000,277000
GET,/history,8,1,30000.0,109029.37956075027,11219.070272999488,276459.8041930003,728.125,0.027153720177786455,0.003394215022223307,109000,131000,276000,276000,276000,276000,276000,276000,276000,276000,276000
,Aggregated,32,6,101000.0,118688.52500406261,11219.070272999488,292608.6481419998,1039.125,0.10861488071114582,0.02036529013333984,101000,131000,233000,264000,276000,277000,293000,293000,293000,293000,293000
